Sample,Population
Dec1LampV_1,Paint
Dec1LampV_2,Paint
Dec1LampV_3,Paint
Dec1LampV_4,Paint
Dec1LampV_5,Paint
Jan1LampV_1,Paint
Jan1LampV_2,Paint
Jan1LampV_3,Paint
Jan1LampV_4,Paint
LampV105,Paint
LampV106,Paint
LampV107,Paint
LampV108,Paint
LampV110,Emory
LampV111,Emory
LampV112,Emory
LampV113,Emory
LampV114,Emory
LampV115,Emory
LampV116,Emory
LampV117,Emory
LampV118,Emory
LampV119,Emory
